"Does Not Contain","لا يحتوي",
Done,,
Dr.,,
"Dr. ${0}",,
Draft,مسودة,
Duplicate,تكرار,
"Duplicate Entry",,
"Duplicate Template",,
"Duplicate columns found: ${0}",,
"Duties and Taxes","الرسوم والضرائب",
"Earnest Money","كسب المال",
"Electronic Equipments","معدات إلكترونية",
Email,"البريد الإلكتروني",
"Email Address","عنوان البريد الإلكتروني",
Empty,فارغ,
"Empty file selected",,
"Enable Barcodes",,
"Enable Batches",,
"Enable Discount Accounting",,
"Enable Inventory",,
"Enable Price List",,
"Enable Serial Number",,
"Enable UOM Conversion",,
Enabled,,
"Enabled For",,
"Enter Country to load States","اختار الدولة حتى يتم تحميل  المدن",
"Enter State","ادخل  المدينة",
"Enter barcode",,
"Entertainment Expenses","مصاريف ترفيه",
Entry,,
"Entry Currency",,
"Entry Label",,
"Entry No","رقم الإدخال",
"Entry No.",,
"Entry Type","نوع الإدخال",
"Entry has Grand Total ${0}. Please verify amounts.",,
Equity,"حقوق الملكية",
Error,خطأ,
"Exchange Gain/Loss","مكاسب / خسارة الصرف",
"Exchange Rate","سعر الصرف",
"Excise Entry",,
"Existing Company",,
Expand,,
Expense,المصاريف,
"Expense Account","حساب المصروف",
Expenses,المصروفات,
"Expenses Included In Valuation","المصروفات المدرجة في التقييم",
"Expiry Date",,
Export,تصدير,
"Export Failed","فشل التصدير",
"Export Format",,
"Export Successful","تم التصدير بنجاح",
"Export Wizard",,
FIFO,,
Failed,,
Fax,فاكس,
Features,,
February,,
Field,الحقل,
Fieldname,"اسم المجال",
"File ${0} does not exist.",,
"File selection failed",,
Filter," التصفية",
"Fiscal Year","السنة المالية",
"Fiscal Year End Date","تاريخ نهاية السنة المالية",
"Fiscal Year Start Date","تاريخ بدء السنة المالية",
"Fix Failed",,
"Fixed Asset","الاصول الثابنة",
"Fixed Assets","الأصول الثابتة",
"Following cells have errors: ${0}.",,
"Following links do not exist: ${absentLinks .map((l) =>",,
Font,الخط,
For,"من أجل",
"For Purchase",,
"For Sales",,
"Forbidden Error",,
Fr,,
Fraction,كسر,
"Fraction Units","وحدات الكسر",
"Frappe Books does not have access to the selected file: ${0}",,
"Freight and Forwarding Charges","مصاريف الشحن",
From,,
"From Account","من الحساب",
"From Date","من تاريخ",
"From Loc.",,
"From Year","من سنة",
"Full Name","الاسم الكامل",
"Furnitures and Fixtures","الأثاث والتجهيزات",
GST,,
"GSTIN No.",,
GSTR1,,
GSTR2,,
"Gain/Loss on Asset Disposal","الربح / الخسارة من التصرف في الأصول",
General,عام,
"General Ledger","الاستاذ  العام",
"Get Started",ابدأ,
Global,,
"Go back to the previous page",,
Gram,,
"Grand Total","المجموع الكلي",
"Greater Than","أكبر من",
Green,اخضر,
"Group By",,
HSN/SAC,,
"HSN/SAC Code",,
"Half Yearly","نصف سنوى",
"Half Years",,
"Has Batch",,
"Has Serial Number",,
"Height (in cm)",,
Help,,
"Hex Value",,
"Hidden values will be visible on Print on.",,
"Hide Get Started","إخفاء قائمة البدء",
"Hide Group Amounts",,
"Hide Month/Year",,
"Hides the Get Started section from the sidebar. Change will be visible on restart or refreshing the app.","يخفي قسم البدء من الشريط الجانبي. سيكون التغيير مرئيًا عند إعادة التشغيل أو تحديث التطبيق",
Hour,,
INR,,
Image,صورة,
"Import Complete",,
"Import Data","استيراد البيانات",
"Import Data.",,
"Import Type","نوع الاستيراد",
"Import Wizard",,
"Importer not set, reload tool",,
Inactive,,
"Include Cancelled",,
Income,الدخل,
"Income Account","حساب الدخل",
"Increase print template display scale",,
Indigo,,
"Indirect Expenses","مصاريف غير مباشرة",
"Indirect Income","الدخل غير المباشر",
Inflow,التدفق,
"Instance Id",,
"Insufficient Quantity",,
"Insufficient Quantity.",,
"Intergrated Tax","ضريبة متكاملة",
"Internal Precision","الدقة الداخلية",
"Invalid Key Error",,
"Invalid barcode value ${0}.",,
"Invalid value ${0} for ${1}",,
"Invalid value found for ${0}",,
Inventory,,
"Inventory Settings",,
Investments,استثمارات,
Invoice,الفاتورة,
"Invoice Created","الفاتورة المُنشأة",
"Invoice Date","تاريخ الفاتورة",
"Invoice Item",,
"Invoice No","رقم الفاتورة",
"Invoice No.","رقم الفاتورة",
"Invoice Value","قيمة الفاتورة",
Invoices,الفواتير,
Is,هو,
"Is Custom",,
"Is Empty",فارغ,
"Is Group","هي المجموعة",
"Is Landscape",,
"Is Not",ليس,
"Is Not Empty","ليس فارغ",
"Is Price List Enabled",,
"Is Whole",,
Item,العنصر,
"Item ${0} is a batched item",,
"Item ${0} is not a batched item",,
"Item Description",,
"Item Name","اسم العنصر",
"Item Prices",,
"Item with From location not found",,
"Item with To location not found",,
"Item with barcode ${0} not found.",,
Items,العناصر,
January,,
"John Doe",,
"Journal Entries",,
"Journal Entry","إدخال دفتر اليومية",
"Journal Entry Account",,
"Journal Entry Number Series",,
"Journal Entry Print Template",,
July,,
June,,
"Key Hints",,
Kg,,
Language,اللغة,
"Left Index",,
"Legal Expenses","المصاريف القانونية",
"Less Filters",,
"Less Than","أقل من",
Liability,,
Limit,,
"Link Validation Error",,
"Linked Entries",,
List,,
"List View",,
"Load an existing company from your computer",,
"Loading Report...",,
"Loading instance...",,
Loading...,"تحميل ...",
"Loans (Liabilities)","قروض (خصوم)",
"Loans and Advances (Assets)","القروض والسلف (الأصول)",
Locale,اللغة,
Location,,
"Location Name",,
Logo,الشعار,
"Make Entry",,
"Make Payment On Submit",,
"Make Purchase Receipt On Submit",,
"Make Shipment On Submit",,
"Mandatory Error",,
Manufacture,,
"Manufacture Date",,
"Mar 23, 2022",,
March,,
"Mark ${0} as submitted?",,
"Marketing Expenses","مصاريف التسويق",
"Material Issue",,
"Material Receipt",,
"Material Transfer",,
May,,
Meter,,
Misc,,
Miscellaneous,,
"Miscellaneous Expenses","مصاريف متنوعة",
Mo,,
Modified,,
"Modified By",,
Monthly,,
Months,,
More,,
"More Filters",,
"More shortcuts will be added soon.",,
"Movement Type",,
"Moving Average",,
Name,الاسم,
Navigate,,
"Net Total","الإجمالي الصافي",
"New ${0}",,
"New ${0} ${1}",,
"New Account","حساب جديد",
"New Company",,
"New Entry",,
"New Template",,
No,لا,
"No Display Entries Found",,
"No Print Templates not found for entry type ${0}",,
"No Value",,
"No Values to be Displayed",,
"No entries found",,
"No entries were imported.",,
"No expenses in this period","لا توجد نفقات في هذه الفترة",
"No filters selected","لم يتم تحديد عوامل تصفية",
"No linked entries found",,
"No results found",,
"No rows added. Select a file or add rows.",,
"No transactions yet","لا توجد معاملات حتى الآن",
"Non Active Serial Number ${0} cannot be used as Manufacture raw material",,
"Non Active Serial Number ${0} cannot be used for Material Issue",,
"Non Active Serial Number ${0} cannot be used for Material Transfer",,
"Non Inactive Serial Number ${0} cannot be used for Material Receipt",,
None,"لا شيء",
"Not Found",,
"Not Saved",,
"Not Submitted",,
"Not Transferred",,
Notes,ملاحظات,
November,,
"Number Display",,
"Number Series","سلسلة الأرقام",
"Number of ${0}",,
"Number of Rows",,
October,,
"Office Equipments","معدات مكتبية",
"Office Maintenance Expenses","مصاريف صيانة المكاتب",
"Office Rent","إيجار مكتب",
Okay,,
"Onboarding Complete","اكتمال الإعداد",
"Only From or To can be set for Manufacture",,
"Open Count",,
"Open Documentation",,
"Open Folder","فتح مجلد",
"Open Print View",,
"Open Print View if Print is available.",,
"Open Quick Search",,
"Open Report Print View",,
"Open the Export Wizard modal",,
"Opening (Cr)","(Cr) الافتتاح",
"Opening (Dr)","(Dr) افتتاح",
"Opening Balance Equity","الرصيد الافتتاحي حقوق الملكية",
"Opening Balances","أرصدة الافتتاح",
"Opening Entry",,
Orange,,
Organisation,التنظيم,
Outflow,التدفق,
Outstanding,,
"Outstanding Amount","المبلغ المستحق",
"Pad Zeros",,
Page,,
Paid,مدفوع,
"Paid ${0}",,
Parent,الوالد,
"Parent Account","الحساب الوالد",
Party,مورد / عميل,
"Patch Run",,
Pay,دفع,
Payable,,
Payment,الدفع,
"Payment For","الدفع مقابل",
"Payment Method","طريقة الدفع",
"Payment No","رقم الدفع",
"Payment Number Series",,
"Payment Print Template",,
"Payment Reference","مرجع الدفع",
"Payment Type","نوع الدفع",
"Payment amount cannot be ${0}.","لا يمكن أن يكون مبلغ الدفعة ${0}",
"Payment amount cannot be less than zero.","مبلغ الدفعة لا يمكن أن يكون أقل من الصفر.",
"Payment amount cannot exceed ${0}.","مبلغ الدفعة لا يمكن أن يتجاوز ${0} .",
"Payment amount: ${0} should be greater than 0.","مبلغ الدفعة: ${0} يجب أن يكون أكبر من 0.",
"Payment amount: ${0} should be less than Outstanding amount: ${1}.","مبلغ الدفعة: ${0} يجب أن يكون أقل من المبلغ المستحق: ${1}",
"Payment of ${0} will be made from account ""${1}"" to account ""${2}"" on Submit.",,
Payments,المدفوعات,
"Payroll Payable","الرواتب المستحقة الدفع",
"Pending Qty. ${0}",,
"Pending qty. ${0}",,
Periodicity,الدورية,
Phone,الهاتف,
"Pick Columns",,
"Pick Import Columns",,
Pink,,
Place,مكان,
"Place of supply","مكان التوريد",
"Plants and Machineries","المصانع والآليات",
"Please Wait",,
"Please check Key Hints for valid key names",,
"Please create a ${0} entry to view Template Preview.",,
"Please fill all values.",,
"Please restart and try again.",,
"Please select a Print Template",,
"Please select a valid reference type.",,
"Please set GSTIN in General Settings.",,
"Please set Round Off Account in the Settings.",,
"Please set a Display Doc",,
"Postal Code","الرمز البريدي",
"Postal Expenses","المصاريف البريدية",
"Posting Date","تاريخ النشر",
Prefix,بادئة,
"Price List",,
"Price List Item",,
"Prime Bank",,
Print,طباعة,
"Print ${0}",,
"Print Settings","إعدادات الطباعة",
"Print Setup",,
"Print Template",,
"Print Template Name not set",,
"Print Template is empty",,
"Print Templates",,
"Print View",,
"Print and Stationery","طباعة و المكتبة",
Product,,
"Profit And Loss","الربح والخسارة",
"Profit and Loss","الربح والخسارة",
Purchase,شراء,
"Purchase Acc.",,
"Purchase Invoice",,
"Purchase Invoice Item",,
"Purchase Invoice Number Series",,
"Purchase Invoice Print Template",,
"Purchase Invoice Terms",,
"Purchase Invoices",,
"Purchase Item",,
"Purchase Item Created",,
"Purchase Items","شراء العناصر",
"Purchase Payment",,
"Purchase Payment Account",,
"Purchase Payments",,
"Purchase Receipt",,
"Purchase Receipt Item",,
"Purchase Receipt Location",,
"Purchase Receipt Number Series",,
"Purchase Receipt Print Template",,
"Purchase Receipt Terms",,
Purchases,المشتريات,
Purple,,
"Qty. ${0}",,
"Qty. in Transfer Unit",,
Quantity,الكمية,
"Quantity (${0}) has to be greater than zero",,
"Quantity needs to be set",,
Quarterly,,
Quarters,,
"Quick Search",,
"Quick edit error: ${0} entry has no name.",,
Rate,معدل,
"Rate (${0}) cannot be less zero.","لا يمكن أن يكون السعر (${0}) أقل من صفر.",
"Rate (${0}) has to be greater than zero",,
"Rate can't be negative.","لا يمكن أن يكون المعدل سالبًا",
"Rate needs to be set",,
"Raw Value: ${0}",,
Receivable,,
Receive,تلقي,
Red,,
"Ref Name",,
"Ref Type",,
"Ref. / Cheque No.","المرجع. / رقم الشيك",
"Ref. Date","المرجع. التاريخ",
"Ref. Name","المرجع. الاسم",
"Ref. Type","المرجع. النوع",
Reference,,
"Reference Date","تاريخ المرجع",
"Reference Number","الرقم المرجعي",
"Reference Type","نوع المرجع",
References,,
"Reload Frappe Books?",,
Report,,
"Report Error","الإبلاغ عن خطأ",
"Report Issue",,
"Report will use more than one page if required.",,
Reports,التقارير,
"Required fields not selected: ${0}",,
"Retained Earnings","الأرباح المحتجزة",
"Reverse Chrg.","الشحن العكسي",
Reverted,"تم إرجاعه",
Reverts,,
"Review Accounts","مراجعة الحسابات",
"Review your chart of accounts, add any account or tax heads as needed",,
"Right Index",,
Role,الدور,
"Root Type","نوع الجذر",
"Round Off","جولة خارج",
"Round Off Account","تقريب الحساب",
"Round Off Account Not Found",,
"Rounded Off",,
"Row ${0}",,
Sa,,
Salary,الراتب,
Sales,المبيعات,
"Sales Acc.",,
"Sales Expenses","مصاريف المبيعات",
"Sales Invoice","فاتورة مبيعات",
"Sales Invoice Item","اصناف فاتورة المبيعات",
"Sales Invoice Number Series",,
"Sales Invoice Print Template",,
"Sales Invoice Terms",,
"Sales Invoices","فواتير المبيعات",
"Sales Item",,
"Sales Item Created","تم انشاء صنف مبيعات",
"Sales Items","عناصر المبيعات",
"Sales Payment",,
"Sales Payment Account",,
"Sales Payments","مدفوعات المبيعات",
"Sales and Purchase",,
Save,حفظ,
"Save ${0}?",,
"Save Template","حفظ النموذج",
"Save Template File",,
"Save as PDF","حفظ كملف PDF",
"Save as PDF Successful","PDF حفظ كملف ناجح",
"Save changes made to ${0}?",,
"Save or Submit an entry.",,
Saved,,
"Secured Loans","قروض مضمونة",
"Securities and Deposits","الأوراق المالية والودائع",
Select,تحديد,
"Select CoA","حدد شهادة توثيق البرامج",
"Select Color","تحديد اللون",
"Select Country","تحديد الدولة",
"Select File","تحديد ملف",
"Select Folder","تحديد مجلد",
"Select Image","حدد صورة",
"Select Template File",,
"Select a Display Doc to view the Template",,
"Select a Template type",,
"Select a pre-defined page size, or set a custom page size for your Print Template.",,
"Select column",,
"Select file","تحديد ملف",
Selected,,
September,,
"Serial Number",,
"Serial Number ${0} does not belong to the item ${1}.",,
"Serial Number ${0} does not exist.",,
"Serial Number ${0} is not Active.",,
"Serial Number ${0} is not Inactive",,
"Serial Number Description",,
"Serial Number is enabled for Item ${0}",,
"Serial Number is not enabled for Item ${0}",,
"Serial Number not set for row ${0}.",,
"Serial Number set for row ${0}.",,
Service,الخدمة,
"Set Discount Amount",,
"Set Period",,
"Set Print Size",,
"Set Up",,
"Set Up Your Workspace","إعداد مساحة العمل الخاصة بك",
"Set a Template value to see the Print Template",,
"Set an Import Type","تعيين نوع الاستيراد",
"Set the display language.","ضبط لغة العرض.",
"Set the local code. This is used for number formatting.","اضبط الكود المحلي. يستخدم هذا لتنسيق الأرقام",
<<<<<<< HEAD
=======
"Sets how many digits are shown after the decimal point.","تعيين عدد الأرقام التي تظهر بعد العلامة العشرية.",
"Sets the app-wide date display format.","يضبط تنسيق عرض التاريخ على مستوى التطبيق.",
"Sets the internal precision used for monetary calculations. Above 6 should be sufficient for most currencies.","يضبط الدقة الداخلية المستخدمة في الحسابات النقدية. يجب أن يكون الرقم الأعلى من 6 كافيًا لمعظم العملات",
"Setting Up Instance",,
"Setting Up...","الإعداد ...",
Main,الرئيسية,
Settings,الإعدادات,
"Settings changes will be visible on reload","ستكون تغييرات الإعدادات مرئية عند إعادة التحميل",
Setup,الإعداد,
"Setup Complete","اكتمل الإعداد",
"Setup Wizard","معالج الإعداد",
"Set Up Your Workspace","إعداد مساحة العمل الخاصة بك",
"Setup system defaults like date format and display precision",,
>>>>>>> 457559d8de7e33a0668fb8d13fa0a7a5f165629c
"Set up your company information, email, country and fiscal year",,
"Set up your opening balances before performing any accounting entries",,
"Set up your organization","إعداد منظمتك",
"Set up your tax templates for your sales or purchase transactions",,
"Sets how many digits are shown after the decimal point.","تعيين عدد الأرقام التي تظهر بعد العلامة العشرية.",
"Sets the app-wide date display format.","يضبط تنسيق عرض التاريخ على مستوى التطبيق.",
"Sets the internal precision used for monetary calculations. Above 6 should be sufficient for most currencies.","يضبط الدقة الداخلية المستخدمة في الحسابات النقدية. يجب أن يكون الرقم الأعلى من 6 كافيًا لمعظم العملات",
"Setting Up Instance",,
Settings,الإعدادات,
Setup,الإعداد,
"Setup Complete","اكتمل الإعداد",
"Setup Wizard","معالج الإعداد",
"Setup system defaults like date format and display precision",,
Shipment,,
"Shipment Item",,
"Shipment Location",,
"Shipment Number Series",,
"Shipment Print Template",,
"Shipment Terms",,
Shortcuts,,
"Should entries be submitted after syncing?",,
"Show HSN",,
"Show Me",أرني,
"Show Month/Year",,
"Single Value",,
"Skip Child Tables",,
"Skip Transactions",,
"Smallest Currency Fraction Value","أصغر قيمة لكسر العملة",
Softwares,البرامج,
"Something has gone terribly wrong. Please check the console and raise an issue.","لقد حدث خطأ ما بشكل رهيب. يرجى التحقق من وحدة التحكم وإثارة المشكلة",
"Source of Funds (Liabilities)","مصدر الأموال (الخصوم)",
"Standard Chart of Accounts","المخطط القياسي للحسابات",
Start,ابدأ,
"Start From Row Index",,
State,الدولة,
"State Tax","ضريبة الولاية",
Status,الحالة,
Stock,,
"Stock Adjustment","تسوية المخزون",
"Stock Assets","أصول المخزون",
"Stock Balance",,
"Stock Entries",,
"Stock Expenses","مصاريف المخزون",
"Stock In Hand","المخزون في متناول اليد",
"Stock In Hand Acc.",,
"Stock Ledger",,
"Stock Ledger Entry",,
"Stock Liabilities","مطلوبات المخزون",
"Stock Movement",,
"Stock Movement Item",,
"Stock Movement No.",,
"Stock Movement Number Series",,
"Stock Movement Print Template",,
"Stock Movements",,
"Stock Not Transferred",,
"Stock Received But Not Billed","تم استلام المخزون ولكن لم يتم إصدار فاتورة به",
"Stock Received But Not Billed Acc.",,
"Stock Transfer Item",,
"Stock Unit",,
StockTransfer,,
Stores,,
Su,,
Submit,إرسال,
"Submit ${0}?",,
"Submit entries?",,
Submitted,مقدم,
Success,,
Supplier,المورد,
"Supplier Created","إنشاء المورد",
Suppliers,الموردون,
Symbol,الرمز,
System,النظام,
"System Settings","إعدادات النظام",
"System Setup","إعداد النظام",
Tax,الضريبة,
"Tax Account","حساب الضرائب",
"Tax Amount",,
"Tax Assets","الأصول الضريبية",
"Tax Detail","التفاصيل الضريبية",
"Tax ID","المعرّف الضريبي",
"Tax Rate",,
"Tax Summary","ملخص  الضريبة",
"Tax and Totals",,
"Taxable Value","القيمة الخاضعة للضريبة",
"Taxed Amount",,
Taxes,الضرائب,
Teal,,
"Telephone Expenses","مصاريف الهاتف",
Template,قالب,
"Template Builder",,
"Template Compilation Error",,
"Template Name",,
"Template Type",,
"Template file saved",,
Temporary,مؤقت,
"Temporary Accounts","حسابات مؤقتة",
"Temporary Opening","الافتتاح المؤقت",
Terms,الشروط,
Th,,
"The following characters cannot be used ${0} in a Number Series name.",,
"The following items have insufficient quantity for Shipment: ${0}",,
"This Month","هذا الشهر",
"This Quarter","هذا الربع",
"This Year","هذه السنة",
"This action is permanent","هذا العمل دائم",
"This action is permanent and will cancel the following payment: ${0}","هذا الإجراء نهائي وسيؤدي إلى إلغاء الدفعة التالية: ${0}",
"This action is permanent and will cancel the following payments: ${0}","هذا الإجراء نهائي وسيؤدي إلى إلغاء الدفعات التالية: ${0} ",
"This action is permanent and will delete associated ledger entries.",,
"This action is permanent.",,
"Times New Roman",,
To,,
"To Account",الحساب,
"To Account and From Account can't be the same: ${0}",,
"To Date","حتى تاريخ",
"To Loc.",,
"To Year","حتى سنة",
"Toggle Edit Mode",,
"Toggle Key Hints",,
"Toggle Linked Entries widget, not available in Quick Edit view.",,
"Toggle between form and full width",,
"Toggle sidebar",,
"Toggle the Create filter",,
"Toggle the Docs filter",,
"Toggle the List filter",,
"Toggle the Page filter",,
"Toggle the Report filter",,
"Top Expenses","أهم المصروفات",
Total,اجمالى,
"Total Amount",,
"Total Asset (Debit)","اجمالى الاصول(مين)",
"Total Debit: ${0} must be equal to Total Credit: ${1}",,
"Total Discount",,
"Total Equity (Credit)","اجمالى حقوق الملكية(دائن)",
"Total Expense (Debit)","اجمالى المصروفات(مدين)",
"Total Income (Credit)","اجمالى الدخل(دائن)",
"Total Liability (Credit)","اجمالى الالتزامات(دائن)",
"Total Profit","اجمالى الربح",
"Total Spending","إجمالي الإنفاق",
"Track Item",,
Transfer,تحويل,
"Transfer No",,
"Transfer Type","نوع التحويل",
"Transfer Unit",,
"Transfer Unit ${0} is not applicable for Item ${1}",,
