"Cannot perform operation.","عملیات قابل اجرا نیست.",
"Cannot read file","فایل قابل خواندن نیست",
"Capital Equipments","ماشین‌آلات و تجهیزات",
"Capital Stock","مجموع سهام صادر شده",
Cash,"پول نقد",
"Cash Entry","ثبت نقدی",
"Cash In Hand","موجودی نقدی",
Cashflow,"جریان نقدی",
"Central Tax","مالیات مرکزی",
"Change DB","تغیر دیتابیس",
"Change File","تغییر فایل",
"Change Ref Type","تغییر نوع رفرنس ",
"Changes made to settings will be visible on reload.","تغییرات اعمال شده در تنظیمات پس از بارگذاری قابل مشاهده خواهند بود.",
Chargeable,"قابل دریافت",
"Chart Of Accounts Reviewed","چارت حساب های بررسی شده",
"Chart of Accounts","چارت حساب ها",
Cheque,چک,
"City / Town","شهر / شهرک",
Clear,"پاک کردن",
"Clearance Date","تاریخ تسویه حساب",
Close,بستن,
"Close Frappe Books and try manually.","Frappe Books را ببندید و دستی امتحان کنید.",
"Close Quick Search","بستن جستجو",
Closing,خاتمه,
"Closing (Cr)"," خاتمه (کردیت)",
"Closing (Dr)",خاتمه(دبت),
Collapse,"جمع کردن",
Color,رنگ,
"Commission on Sales","کمیشن فروش",
Common,عمومی,
Company,شرکت,
"Company Logo","لوگوی شرکت",
"Company Name","نام شرکت",
"Company Setup","راه اندازی شرکت",
Completed,"تکمیل شده",
Condition,شرط,
"Consolidate Columns","یکی کردن ستون ها",
Contacts,مخاطبین,
Contains,شامل,
"Continue submitting Sales Invoice?",آیا میخواهید فاكتور را ثبت کنید؟,
"Contra Entry","ثبت متقابل",
"Conversion Error","خطای تبدیل",
"Conversion Factor","ضریب تبدیل",
"Cost Of Goods Sold Acc.","حساب هزینه کالاهای فروخته شده",
"Cost of Goods Sold","هزینه کالاهای فروخته شده",
"Could not connect to database file ${0}, please select the file manually","نمی توان به فایل دیتابیس ${0} متصل شد، لطفاً فایل را به صورت دستی انتخاب کنید",
Country,کشور,
"Country Code","کد کشور",
"Country code used to initialize regional settings.","کد کشور برای تنظیمات منطقه‌ای مورد استفاده قرار می‌گیرد.",
Courier,,
Cr.,کردیت.,
"Cr. ${0}","کردیت ${0}",
Create,"ایجاد",
"Create Demo","ایجاد نسخه ی نمایشی",
"Create Purchase","ایجاد خرید",
"Create Purchase Invoice","ایجاد فاکتور خرید",
"Create Sale","ایجاد فروش ",
"Create Sales Invoice","ایجاد فاکتور فروش",
"Create a demo company to try out Frappe Books",ایجاد یک شرکت آزمایشی برای چک کردن نرم افزار,
"Create a new company and store it on your computer",ایجاد دیتابیس جدید و ذخیره آن در کمپیوتر شما,
"Create a new company or select an existing one from your computer",ایجاد دیتابیس جدید و یا انتخاب دیتابیس موجود از کمپیوتر شما,
"Create a new entry of the same type as the List View","ایجاد یک مورد جدید از همان نوع لیست",
"Create new ${0} entry?","ایجاد مورد جدید ${0}؟",
"Create your first purchase invoice from the created supplier","اولین فاکتور خرید خود را برای تامین کننده مورد نظر ایجاد کنید.",
"Create your first sales invoice for the created customer","برای مشتری ایجاد شده اولین فاکتور فروش خود را ایجاد کنید.",
Created,"ایجاد شد",
"Created By","ایجاد شده توسط",
"Creating Items and Parties","ایجاد کالاها و طرف ها",
"Creating Journal Entries","ایجاد کردن ورودی‌های دفتر روزنامچه",
"Creating Purchase Invoices","ایجاد فاکتورهای خرید",
Credit,کردیت,
"Credit Card Entry","ثبت کارت اعتباری",
"Credit Note",ثبت اعلامیه طلبکار,
Creditors,"طلبکار ها",
Currency,ارز ,
"Currency Name","نام ارز",
Current,"در حال حاضر ",
"Current Assets","دارایی های جاری",
"Current Liabilities","بدهی های جاری",
"Custom Hex",,
Customer,مشتری,
"Customer Created","مشتری ایجاد شد",
"Customer Currency","ارز مشتری",
Customers,مشتریان,
Customizations,"سفارشی سازی",
"Customize your invoices by adding a logo and address details","سفارشی کردن فاکتورهای خود با افزودن لوگو و جزئیات آدرس",
Dashboard,داشبورد,
"Database Error","خطای دیتابیس",
"Database file: ${0}","فایل دیتابیس: ${0}",
Date,تاریخ,
"Date Format"," فرمت تاریخ",
Day,روز,
Debit,دبت,
"Debit Note",ثبت اعلامیه قرض دار,
Debtors,"قرض دار ها",
December,دسمبر,
"Decrease print template display scale","کوچک نمایی صفحه نمایش قالب چاپ",
Default,"پیش فرض",
"Default Account","حساب پیش فرض ",
"Default Location","انبار پیش فرض",
Defaults,"پیش فرض ها",
Delete,حذف,
"Delete ${0}?","؟ ${0} حذف",
"Delete Failed","حذف ناموفق",
Delivered,"تحویل داده شد",
Depreciation,استهلاک,
"Depreciation Entry","ثبت استهلاک",
Description,توضیحات,
Details,جزئیات,
"Direct Expenses","مصارف مستقیم",
"Direct Income","درآمد مستقیم",
"Directory for database file ${0} does not exist, please select the file manually","فولدر دیتابیس ${0}  وجود ندارد، لطفاً دیتابیس را به صورت دستی انتخاب کنید",
Disabled,"غيرفعال",
"Discount Account","حساب تخفیف",
"Discount Account is not set.","حساب تخفیف تنظیم نشده است.",
"Discount Amount","مبلغ تخفیف",
"Discount Amount (${0}) cannot be greated than Amount (${1}).","مقدار تخفیف (${0}) نمی‌تواند بیشتر از مقدار (${1}) باشد.",
"Discount Percent","فیصدی تخفیف",
"Discount Percent (${0}) cannot be greater than 100.","درصد تخفیف (${0}) نمی‌تواند بیشتر از 100 باشد.",
"Discounted Amount","مبلغ بعد از تخفیف",
Discounts,تخفیف‌ها,
"Display Doc","نمایش سند",
"Display Logo in Invoice","نمایش لوگو در فاکتور",
"Display Precision","رقمهای بعد اعشاری",
"Display Precision should have a value between 0 and 9.","رقمهای بعد اعشاری  باید مقداری بین 0 تا 9 داشته باشد.",
"Display Scale","مقیاس نمایش",
"Dividends Paid","سود سهام پرداخت شده",
"Doc ${0} ${1} not set","سند ${0} ${1} تنظیم نشده است",
Docs,اسناد,
Documentation,مستندات,
"Does Not Contain","شامل نباشد",
Done,"انجام شده",
Dr.,دبت.,
"Dr. ${0}","دبت. ${0}",
Draft,"پیش نویس",
Duplicate,"کاپی همانند",
"Duplicate Entry","ورودی تکراری",
"Duplicate Template","قالب تکراری",
"Duplicate columns found: ${0}","ستون‌های تکراری یافت شد: ${0}",
"Duties and Taxes",مالیات و عوارض,
"Earnest Money",بيعانه (پیش پرداخت),
"Electronic Equipments","تجهیزات الکترونیکی",
Email,ایمیل,
"Email Address","آدرس ایمیل",
Empty,خالی,
"Empty file selected","فایل خالی انتخاب شده است",
"Enable Barcodes","فعال کردن بارکد",
"Enable Batches",,
"Enable Discount Accounting","فعال کردن حسابداری تخفیف",
"Enable Inventory","فعال کردن انبارداری",
"Enable Price List","فعال کردن لیست قیمت ها",
"Enable Serial Number","فعال کردن سریال نمبر",
"Enable UOM Conversion"," فعال کردن تبدیل واحد های اندازه گیری",
Enabled,"فعال شده",
"Enabled For","فعال برای",
"Enter Country to load States","کشور را برای انتخاب ولایات وارد کنید",
"Enter State","ولایت را وارد کنید",
"Enter barcode","بارکد را وارد کنید",
"Entertainment Expenses","مصارف سرگرمی (خوشگزرانی)",
Entry,مورد,
"Entry Currency"," ارز مورد",
"Entry Label"," عنوان مورد",
"Entry No"," شماره مورد",
"Entry No.","شماره مورد.",
"Entry Type"," نوعیت ثبت",
"Entry has Grand Total ${0}. Please verify amounts.","ورودی مجموع کل آن ${0} است. لطفاً مبلغ را تایید کنید.",
Equity,"حقوق صاحبان سهام",
Error,خطا,
"Exchange Gain/Loss","مفاد/ضرر تبادلات (ارزی)",
"Exchange Rate","نرخ تبادله",
"Excise Entry"," ثبت مالیات غیر مستقیم",
"Existing Company",دیتابیس موجود,
Expand,"باز کردن",
Expense,"مصارف",
"Expense Account","حساب مصارف",
Expenses,"مصارف",
"Expenses Included In Valuation","مصارف لحاظ شده در قیمت گذاری",
"Expiry Date","تاریخ انقضا",
Export,استخراج اطلاعات,
"Export Failed","استخراج ناموفق",
"Export Format","فرمت استخراج",
"Export Successful","استخراج موفق",
"Export Wizard","استخراج اطلاعات",
FIFO,,
Failed,ناموفق,
Fax,فکس,
Features,ویژگی‌ها,
February,فبروری,
Field,فیلد,
Fieldname,"نام فیلد",
"File ${0} does not exist.","فایل ${0} وجود ندارد.",
"File selection failed","انتخاب فایل نا موفق بود",
Filter,فیلتر,
"Fiscal Year","سال مالی",
"Fiscal Year End Date","تاریخ پایان سال مالی",
"Fiscal Year Start Date","تاریخ شروع سال مالی",
"Fix Failed","ترمیم ناموفق",
"Fixed Asset","دارایی ثابت (غیر جاری)",
"Fixed Assets","دارایی های ثابت",
"Following cells have errors: ${0}.","فیلد های زیر خطا دارند: ${0}.",
"Following links do not exist: ${absentLinks .map((l) =>",فیلد های زیر خطا دارند: ${0}.,
Font,فونت,
For,برای ,
"For Purchase","برای خرید",
"For Sales","برای فروش",
"Forbidden Error","خطای ممنوع دسترسی",
Fr,جمعه,
Fraction,واحد جزء ,
"Fraction Units","تعداد واحد جزء ",
"Frappe Books does not have access to the selected file: ${0}",نرم افزار دسترسی به فایل که شما انتخاب کردید را ندارد :${0},
"Freight and Forwarding Charges"," مصارف حمل و نقل",
From,از,
"From Account","از حساب",
"From Date","از تاریخ",
"From Loc.","از محل",
"From Year","از سال",
"Full Name","نام کامل",
"Furnitures and Fixtures","فرنیچر و وسایل تزئینی",
GST,,
"GSTIN No.",,
GSTR1,,
GSTR2,,
"Gain/Loss on Asset Disposal","سود/زیان در فروش دارایی",
General,عمومی,
General Ledger,دفتر کل,
"Get Started","آماده سازی سیستم",
Global,"قابل اجرا در تمام قسمت های سیتسم",
"Go back to the previous page","برگشت به صفحه قبل",
Gram,گرم,
"Grand Total","قیمت کل ",
"Greater Than","بزرگتر از",
Green,سبز,
"Group By","گروه بندی بر اساس",
HSN/SAC,,
"HSN/SAC Code",HSN/SAC کد,
"Half Yearly","نیمه سالانه",
"Half Years","نیمه سال ها",
"Has Batch",,
"Has Serial Number","سریال نمبر دارد",
"Height (in cm)",ارتفاع (به سانتی متر),
Help,راهنما,
"Hex Value",,
"Hidden values will be visible on Print on.","مقدار های پنهان در پرنت نمایش داده خواهد شد.",
"Hide Get Started","مخفی کردن بخش ""آماده سازی سیستم""",
"Hide Group Amounts"," مخفی کردن قیمت های گروه",
"Hide Month/Year","ماه/سال را مخفی کنید",
"Hides the Get Started section from the sidebar. Change will be visible on restart or refreshing the app.","بخش ""آماده سازی سسیتم"" را از نوار کناری پنهان کنید. تغییرات بعد از راه اندازی مجدد یا تازه کردن برنامه قابل مشاهده خواهند بود.",
Hour,ساعت,
INR,,
Image,تصویر,
"Import Complete","وارد کردن اطلاعات کامل شده است.",
"Import Data","وارد کردن دیتا",
"Import Data.","وارد کردن دیتا.",
"Import Type","نوع دیتا ورودی",
"Import Wizard","وارد کننده دیتا",
"Importer not set, reload tool","واردکننده تنظیم نشده است، ابزار را مجدداً بارگیری کنید.",
Inactive,غیرفعال,
"Include Cancelled","شامل کردن لغو شده ها",
Income,درآمد,
"Income Account","حساب درآمد",
"Increase print template display scale","افزایش اندازه نمایش تبمپلت چاپ",
Indigo,نیلی,
"Indirect Expenses","مصارف غیرمستقیم",
"Indirect Income","درآمد غیرمستقیم",
Inflow,"جریان ورودی",
"Instance Id",,
"Insufficient Quantity",تعداد ناکافي,
"Insufficient Quantity.","تعداد ناکافي.",
"Intergrated Tax",,
"Internal Precision",دقت محاسبات,
"Invalid Key Error","خطای کلید نامعتبر",
"Invalid barcode value ${0}.","بارکد نامعتبر ${0}.",
"Invalid value ${0} for ${1}","مقدار نامعتبر ${0} برای ${1}",
"Invalid value found for ${0}","مقدار نامعتبر برای ${0} یافت شد",
Inventory,انبارداری,
"Inventory Settings","تنظيمات انبارداری",
Investments,سرمایه‌گذاری‌ها,
Invoice,فاکتور,
"Invoice Created","فاکتور ایجاد شد",
"Invoice Date","تاريخ فاكتور",
"Invoice Item","کالا فاكتور",
"Invoice No","شماره فاكتور",
"Invoice No.","شماره فاكتور.",
"Invoice Value","قیمت فاكتور",
Invoices,"فاكتور ها",
Is,است,
"Is Custom","شخصی سازی شده؟",
"Is Empty"," خالی است",
"Is Group","گروه است",
"Is Landscape","افقی",
"Is Not",نیست,
"Is Not Empty"," خالی نیست",
"Is Price List Enabled","فعال کردن لیست قیمت",
"Is Whole"," قابل اعشاری نیست ",
Item,کالا,
"Item ${0} is a batched item",,
"Item ${0} is not a batched item",,
"Item Description","توضيحات کالا",
"Item Name","نام کالا",
"Item Prices",قیمت های کالا,
"Item with From location not found"," کالا که از انبار تعین شده پیدا نشد",
"Item with To location not found"," کالا که به انبار تعین شده پیدا نشد",
"Item with barcode ${0} not found.","کالا با بارکد ${0} یافت نشد",
Items,کالاها,
January,جنوری,
"John Doe",احمد,
"Journal Entries","ثبت شده های روزنامچه",
"Journal Entry","ثبت روزنامچه",
"Journal Entry Account"," حساب های روزنامچه",
"Journal Entry Number Series"," نمبر مسلسل روزنامچه",
"Journal Entry Print Template"," قالب چاپ روزنامچه",
July,جولای,
June,جون,
"Key Hints","راهنمای کلیدها",
Kg,کیلوگرم,
Language,زبان,
"Left Index",,
"Legal Expenses","مصارف حقوقی",
"Less Filters","فیلترهای کمتر",
"Less Than","کمتر از",
Liability,بدهی,
Limit,محدودیت,
"Link Validation Error","خطای تایید اعتبار لینک",
"Linked Entries","ثبت شده های مرتبط",
List,لیست,
"List View",لیست,
"Load an existing company from your computer",انتخاب یک دیتابیس موجود از کمپیوتر شما,
"Loading Report...","در حال بارگذاری گزارش ",
"Loading instance...","در حال ایجاد کردن...",
Loading...,"در حال بارگذاری",
"Loans (Liabilities)"," قرضه ها (بدهی ها)",
"Loans and Advances (Assets)","تسهیلات و قرض های اعطا شده (دارایی)",
Locale,محلی,
Location,انبار,
"Location Name","نام انبار",
Logo,لوگو,
"Make Entry","ثبت مورد",
"Make Payment On Submit","پرداخت هنگام ثبت",
"Make Purchase Receipt On Submit",ایجاد رسید خرید در زمان ثبت کردن,
"Make Shipment On Submit",ایجاد تحویل کالا در زمان ثبت کردن,
"Mandatory Error","خطای اجباری",
Manufacture,"تولیدی (خروج اجناس از انبار و ورود اجناس متفاوت به انبار )",
"Manufacture Date","تاریخ تولید",
"Mar 23, 2022","حمل 23 ,1402",
March,مارچ,
"Mark ${0} as submitted?"," نشان کردن ${0} به عنوان ثبت شده",
"Marketing Expenses","مصارف بازاریابی",
"Material Issue"," خروجی اجناس",
"Material Receipt"," دخولی اجناس",
"Material Transfer"," انتقال اجناس بین انبار ها",
May,می,
Meter,متر,
Misc,متفرقه,
Miscellaneous,متفرقه,
"Miscellaneous Expenses","مصارف متفرقه",
Mo,دوشنبه,
Modified,"تغییر یافته",
"Modified By","تغییر داده شده توسط",
Monthly,ماهانه,
Months,ماه‌ها,
More,بيشتر,
"More Filters","فيلتر هاي بيشتر",
"More shortcuts will be added soon.","بزودي شارت کت هاي بيشتري اضافه خواهد شد.",
"Movement Type","نوعیت انتقال",
"Moving Average"," میانگین",
Name,نام,
Navigate,پیمایش,
"Net Total","جمع کل ",
"New ${0}","${0} جدید",
"New ${0} ${1}","${0} جدید ${1}",
"New Account","حساب جدید",
"New Company",دیتابیس جدید,
"New Entry","ورودی جدید",
"New Template","قالب جدید",
No,نخیر,
"No Display Entries Found"," موردی برای نمایش پیدا نشد",
"No Print Templates not found for entry type ${0}","هیچ قالب چاپی برای نوع ورودی ${0} یافت نشد.",
"No Value","بدون مقدار",
"No Values to be Displayed","هیچ مقداری برای نمایش وجود ندارد.",
"No entries found","هیچ موردی یافت نشد.",
"No entries were imported.","هیچ موردی وارد نشده است.",
"No expenses in this period","هیچ مصرفی در این دوره وجود ندارد.",
"No filters selected","هیچ فیلتری انتخاب نشده است.",
"No linked entries found"," هیج ثبت شده مرتبط پیدا نشد",
"No results found","هیچ نتیجه‌ای یافت نشد.",
"No rows added. Select a file or add rows.","هیچ ردیف اضافه نشده است. یک فایل را انتخاب کنید یا ردیف‌ ها را اضافه کنید.",
"No transactions yet","هنوز هيچ تراکنشي وجود ندارد",
"Non Active Serial Number ${0} cannot be used as Manufacture raw material"," شماره سريال غير فعال ${0} نمي تواند براي انتقال تولیدی اجناس استفاده شود",
"Non Active Serial Number ${0} cannot be used for Material Issue","شماره سريال غير فعال ${0} نمي تواند برای خروجی اجناس استفاده شود",
"Non Active Serial Number ${0} cannot be used for Material Transfer","شماره سريال غير فعال ${0} نمي تواند براي انتقال اجناس بین انبار ها استفاده شود",
"Non Inactive Serial Number ${0} cannot be used for Material Receipt","شماره سريال غير غيرفعال ${0} نمي تواند براي دخولی اجناس استفاده شود",
None,هيچكدام,
"Not Found","پیدا نشد",
"Not Saved","ذخیره نشده",
"Not Submitted","ثبت نشده",
"Not Transferred","انتقال داده نشده",
Notes,یادداشت‌ها,
November,نوامبر,
"Number Display","نمایش شماره",
"Number Series","شماره مسلسل ",
"Number of ${0}","تعداد ${0}",
"Number of Rows","تعداد ردیف ها",
October,اکتبر,
"Office Equipments","تجهیزات دفتر",
"Office Maintenance Expenses","مصارف تعمیر و نگه‌داری دفتر",
"Office Rent","کرایه دفتر",
Okay,خوب,
"Onboarding Complete","پروسه‌ی ورود به سیستم کامل شد",
"Only From or To can be set for Manufacture"," تنها از ویا به میتواند در انتقال تولیدی اجناس تنظیم شود",
"Open Count",,
"Open Documentation","اسناد را باز کنید.",
"Open Folder","بازکردن فولدر",
"Open Print View"," باز کردن نمایش چاپ",
"Open Print View if Print is available."," باز کردن نمایش چاپ در صورت که پرنت در دسترس باشد",
"Open Quick Search","بازکردن جستجو",
"Open Report Print View","باز کردن نمایش چاپ گزارش",
"Open the Export Wizard modal"," بازکردن استخراج گرفتن دیتا",
"Opening (Cr)","افتتاح (Cr)",
"Opening (Dr)","افتتاح (Dr)",
"Opening Balance Equity",سرمایه اولیه صاحبان سهام,
"Opening Balances","بیلانس افتتاحیه",
"Opening Entry"," ثبت افتتاحیه",
Orange,نارنجی,
Organisation,"سازمان (شرکت)",
Outflow,"جریان خروجی",
Outstanding,"واریز نشده",
"Outstanding Amount","مبلغ تسویه نشده",
"Pad Zeros","تعداد خانه های ارقام ",
Page,صفحه,
Paid,"پرداخت شده",
"Paid ${0}","پرداخت شده ${0}",
Parent,والد,
"Parent Account",حساب والد ,
Party,"طرف حساب ",
"Patch Run",,
Pay,"پرداخت پول",
Payable,"قابل پرداخت",
Payment,پرداخت,
"Payment For","پرداخت برای",
"Payment Method","روش پرداخت",
"Payment No","شماره پرداخت",
"Payment Number Series","شماره مسلسل پرداخت",
"Payment Print Template","قالب چاپ پرداخت",
"Payment Reference","رفرنس پرداخت",
"Payment Type","نوع پرداخت",
"Payment amount cannot be ${0}.","مبلغ پرداخت نمی تواند ${0} باشد.",
"Payment amount cannot be less than zero.","مبلغ پرداخت نمی تواند کمتر از صفر باشد.",
"Payment amount cannot exceed ${0}.","مبلغ پرداخت نمی تواند بیش از ${0} باشد.",
"Payment amount: ${0} should be greater than 0.","مبلغ پرداخت: ${0} باید بیشتر از 0 باشد.",
"Payment amount: ${0} should be less than Outstanding amount: ${1}.","مبلغ پرداخت: ${0} باید کمتر از مبلغ باقیمانده: ${1} باشد.",
"Payment of ${0} will be made from account ""${1}"" to account ""${2}"" on Submit.","پرداخت ${0} برای حساب ""${1}"" به حساب ""${2}"" در زمان ثبت انجام می‌شود.",
Payments,پرداخت‌ها,
"Payroll Payable","معاش های پرداختنی",
"Pending Qty. ${0}","تعداد در انتظار ${0}",
"Pending qty. ${0}","تعداد در انتظار ${0}",
Periodicity,دوره,
Phone,تلفن,
"Pick Columns","ستون ها را انتخاب کنید",
"Pick Import Columns","ستون‌های وارد را انتخاب کنید",
Pink,صورتی,
Place,محل,
"Place of supply","محل تامین",
"Plants and Machineries","تاسیسات و ابزار آلات",
"Please Wait","لطفاً صبر کنید.",
"Please check Key Hints for valid key names",لطفاٌ رهنمای کلیدها را برای پیدا کردن نام های درست بررسی کنید,
"Please create a ${0} entry to view Template Preview."," لطفاٌ یک مورد جدید ${0} را ایجاد کنید تا بتوانید پیش نمایش قالب را ببنید.",
"Please fill all values.","لطفاً تمام مقادیر را پر کنید.",
"Please restart and try again.","لطفاً مجدداٌ راه‌اندازی کرده و دوباره امتحان کنید.",
"Please select a Print Template","لطفاً یک قالب چاپ را انتخاب کنید.",
"Please select a valid reference type.","لطفاً نوعیت رفرنس را صحیح را انتخاب کنید.",
"Please set GSTIN in General Settings.",,
"Please set Round Off Account in the Settings.","لطفاٌ حساب گرد کردن (روند آف) را در تنظیمات تنظیم کنید",
"Please set a Display Doc",لطفاٌ یک سند را برای نمایش تنظیم کنید,
"Postal Code","کد پستی",
